"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CRMCODEA","CRMC_DEA","ADVMATX","ADVMATX_","MATNSPCX","MATN_PCX","CRMCDA1","CRMCDA1_","CRMCDA2","CRMCDA2_","CRMCDA3","CRMCDA3_","CRMCDA4","CRMCDA4_","CRMCDA5","CRMCDA5_","CRMCDA6","CRMCDA6_","CRMCDA7","CRMCDA7_","CRMCDA8","CRMCDA8_","CRMCDA9","CRMCDA9_"
"20121",2379225,32,0,"1","300","D",220,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380765,26,0,"1",,"A",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2382305,26,0,"1",,"A",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2383575,17,0,"1","140","D",130,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2384535,24,0,"1",,"A",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2384625,22,0,"1","170","D",26,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2385905,21,0,"1","160","D",63,"D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2386015,29,0,"1",,"A",.,"A",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2386415,23,0,"1",,"A",.,"A",112,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2386975,20,0,"1","180","D",100,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2388195,22,0,"1",,"A",.,"A",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2388565,14,0,"1",,"A",.,"A",225,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2388895,19,0,"1",,"A",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2390445,16,0,"1","170","D",130,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2390645,25,0,"1",,"A",.,"A",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2392025,37,0,"1",,"A",.,"A",350,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2392745,19,0,"1","200","D",500,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2393085,24,0,"1",,"A",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2395135,35,0,"1",,"A",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2397805,39,0,"1","140","D",15,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
