"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20091",1905985,31,0,"1",.,"A",.,"A",90,"D"
"20091",1906155,44,0,"1",50,"D",.,"A",.,"A"
"20091",1906195,50,0,"1",30,"D",.,"A",.,"A"
"20091",1906395,39,0,"1",35,"D",.,"A",.,"A"
"20091",1907075,42,0,"1",.,"A",.,"A",160,"D"
"20091",1907175,73,0,"1",43,"D",.,"A",40,"D"
"20091",1907545,68,0,"1",35,"D",.,"A",.,"A"
"20091",1907565,20,0,"1",.,"A",.,"A",0,"D"
"20091",1907765,57,0,"1",50,"D",.,"A",.,"A"
"20091",1907885,41,0,"1",54,"D",.,"A",.,"A"
"20091",1907925,37,0,"1",.,"A",1,"D",.,"A"
"20091",1907995,56,0,"1",75,"D",.,"A",.,"A"
"20091",1908225,34,0,"1",60,"D",.,"A",.,"A"
"20091",1908485,27,0,"1",6,"D",.,"A",.,"A"
"20091",1908915,57,0,"1",15,"D",.,"A",.,"A"
"20091",1909085,43,0,"1",.,"A",.,"A",100,"D"
"20091",1909265,65,0,"1",80,"D",.,"A",.,"A"
"20091",1909305,32,0,"1",50,"D",.,"A",.,"A"
"20091",1909495,44,0,"1",.,"A",.,"A",40,"D"
"20091",1909735,58,0,"1",20,"D",.,"A",.,"A"
"20091",1909985,62,0,"1",15,"D",.,"A",.,"A"
"20091",1910115,55,0,"1",15,"D",.,"A",.,"A"
"20091",1910135,37,0,"1",24,"D",.,"A",.,"A"
"20091",1910685,59,0,"1",.,"A",.,"A",30,"D"
"20091",1910745,37,0,"1",.,"A",.,"A",200,"D"
"20091",1910765,55,0,"1",10,"D",.,"A",.,"A"
"20091",1911355,62,0,"1",32,"D",.,"A",.,"A"
"20091",1911455,56,0,"1",.,"A",.,"A",150,"D"
"20091",1911515,80,0,"1",.,"A",.,"A",200,"D"
"20091",1912565,30,0,"1",.,"A",.,"A",30,"D"
"20091",1912695,73,0,"1",40,"D",.,"A",.,"A"
"20091",1913045,24,0,"1",.,"A",0,"D",.,"A"
"20091",1913245,52,0,"1",120,"D",.,"A",.,"A"
"20091",1913415,51,0,"1",.,"A",.,"A",120,"D"
"20091",1914205,76,0,"1",.,"A",.,"A",50,"D"
"20091",1914265,49,0,"1",85,"D",.,"A",.,"A"
"20091",1914275,68,0,"1",.,"A",.,"A",0,"D"
"20091",1914515,28,0,"1",60,"D",.,"A",.,"A"
"20091",1914955,59,0,"1",100,"D",.,"A",.,"A"
"20091",1915155,72,0,"1",.,"A",.,"A",130,"D"
"20091",1915195,61,0,"1",.,"A",.,"A",90,"D"
"20091",1915205,52,0,"1",100,"D",.,"A",.,"A"
"20091",1915245,60,0,"1",20,"D",.,"A",108,"D"
"20091",1915675,47,0,"1",30,"D",.,"A",.,"A"
"20091",1916075,47,0,"1",40,"D",.,"A",.,"A"
"20091",1916645,64,0,"1",.,"A",.,"A",100,"D"
"20091",1916715,73,0,"1",.,"A",.,"A",0,"D"
"20091",1916935,36,0,"1",.,"A",.,"A",90,"D"
"20091",1916955,35,0,"1",25,"D",.,"A",.,"A"
"20091",1916985,82,0,"1",60,"D",.,"A",.,"A"
"20091",1917055,26,0,"1",43,"D",.,"A",.,"A"
"20091",1917175,43,0,"1",.,"A",.,"A",20,"D"
"20091",1917495,108,0,"1",26,"D",.,"A",41,"D"
"20091",1917625,48,0,"1",75,"D",.,"A",.,"A"
"20091",1917975,49,0,"1",.,"A",.,"A",38,"D"
"20091",1918135,85,0,"1",80,"D",.,"A",.,"A"
"20091",1918245,32,0,"1",0,"D",.,"A",.,"A"
"20091",1918505,58,0,"1",100,"D",.,"A",.,"A"
"20091",1918625,64,0,"1",.,"A",.,"A",180,"D"
"20091",1918655,34,0,"1",.,"A",.,"A",45,"D"
"20091",1918785,26,0,"1",10,"D",.,"A",.,"A"
"20091",1918875,51,0,"1",0,"D",.,"A",0,"D"
"20091",1918925,29,0,"1",.,"A",.,"A",90,"D"
"20091",1919185,30,0,"1",.,"A",10,"D",.,"A"
"20091",1919565,28,0,"1",30,"D",.,"A",.,"A"
"20091",1919575,63,0,"1",.,"A",.,"A",40,"D"
"20091",1919585,77,0,"1",.,"A",.,"A",25,"D"
"20091",1919605,44,0,"1",90,"D",.,"A",.,"A"
"20091",1919685,48,0,"1",10,"D",.,"A",.,"A"
"20091",1919895,38,0,"1",15,"D",.,"A",.,"A"
"20091",1919925,49,0,"1",.,"A",.,"A",322,"D"
"20091",1919935,60,0,"1",20,"D",.,"A",.,"A"
"20091",1919965,63,0,"1",.,"A",.,"A",20,"D"
"20091",1920085,34,0,"1",60,"D",.,"A",.,"A"
"20091",1920235,67,0,"1",.,"A",.,"A",25,"D"
"20091",1920315,54,0,"1",30,"D",.,"A",.,"A"
"20091",1920625,19,0,"1",.,"A",.,"A",10,"D"
"20091",1921085,65,0,"1",20,"D",.,"A",.,"A"
"20091",1921125,44,0,"1",.,"A",.,"A",50,"D"
"20091",1921925,69,0,"1",25,"D",.,"A",.,"A"
"20091",1921955,37,0,"1",.,"A",.,"A",30,"D"
"20091",1922085,42,0,"1",15,"D",.,"A",.,"A"
"20091",1922135,39,0,"1",10,"D",.,"A",.,"A"
"20091",1922235,88,0,"1",.,"A",.,"A",75,"D"
"20091",1922285,51,0,"1",30,"D",.,"A",.,"A"
"20091",1922445,63,0,"1",.,"A",.,"A",20,"D"
"20091",1922505,54,0,"1",0,"D",.,"A",.,"A"
"20091",1922615,22,0,"1",23,"D",.,"A",40,"D"
"20091",1922745,41,0,"1",70,"D",.,"A",.,"A"
"20091",1922765,35,0,"1",140,"D",.,"A",.,"A"
"20091",1922825,68,0,"1",.,"A",.,"A",180,"D"
"20091",1922915,47,0,"1",39,"D",.,"A",.,"A"
"20091",1923295,48,0,"1",40,"D",.,"A",.,"A"
"20091",1923485,33,0,"1",5,"D",.,"A",.,"A"
"20091",1923645,36,0,"1",100,"D",.,"A",.,"A"
"20091",1923795,69,0,"1",35,"D",.,"A",.,"A"
"20091",1924295,64,0,"1",.,"A",.,"A",20,"D"
"20091",1924375,53,0,"1",20,"D",.,"A",.,"A"
"20091",1924595,52,0,"1",20,"D",.,"A",.,"A"
"20091",1924955,48,0,"1",.,"A",.,"A",0,"D"
"20091",1925015,94,0,"1",37,"D",.,"A",.,"A"
"20091",1925175,63,0,"1",100,"D",3,"D",150,"D"
"20091",1925465,43,0,"1",30,"D",.,"A",.,"A"
"20091",1925505,58,0,"1",.,"A",.,"A",100,"D"
"20091",1925725,90,0,"1",0,"D",.,"A",.,"A"
"20091",1925835,38,0,"1",60,"D",.,"A",.,"A"
"20091",1926735,31,0,"1",6,"D",.,"A",.,"A"
"20091",1927055,59,0,"1",.,"A",.,"A",0,"D"
"20091",1927085,53,0,"1",30,"D",.,"A",.,"A"
"20091",1927215,58,0,"1",.,"A",.,"A",10,"D"
"20091",1927545,58,0,"1",30,"D",.,"A",.,"A"
"20091",1927775,62,0,"1",100,"D",.,"A",.,"A"
"20091",1928094,24,0,"1",10,"D",.,"A",.,"A"
"20091",1928345,22,0,"1",50,"D",.,"A",.,"A"
"20091",1928474,65,0,"1",330,"D",.,"A",.,"A"
"20091",1928564,107,0,"1",.,"A",.,"A",15,"D"
"20091",1928624,78,0,"1",60,"D",.,"A",.,"A"
"20091",1928674,31,0,"1",.,"A",0,"D",.,"A"
"20091",1928784,63,0,"1",.,"A",.,"A",20,"D"
"20091",1928794,28,0,"1",.,"A",.,"A",.,"A"
"20091",1929084,39,0,"1",30,"D",.,"A",.,"A"
"20091",1929274,54,0,"1",.,"A",.,"A",100,"D"
"20091",1929305,49,0,"1",10,"D",.,"A",.,"A"
"20091",1929394,57,0,"1",.,"A",.,"A",50,"D"
"20091",1929565,33,0,"1",100,"D",.,"A",.,"A"
"20091",1929754,40,0,"1",.,"A",.,"A",40,"D"
"20091",1929864,39,0,"1",120,"D",.,"A",.,"A"
"20091",1929984,26,0,"1",300,"D",.,"A",.,"A"
"20091",1929994,70,0,"1",.,"A",.,"A",.,"A"
"20091",1930344,63,0,"1",.,"A",.,"A",100,"D"
"20091",1930414,31,0,"1",20,"D",.,"A",.,"A"
"20091",1930664,32,0,"1",80,"D",.,"A",.,"A"
"20091",1931544,36,0,"1",40,"D",.,"A",.,"A"
"20091",1931635,42,0,"1",90,"D",.,"A",.,"A"
"20091",1931894,64,0,"1",90,"D",.,"A",.,"A"
"20091",1932335,49,0,"1",30,"D",.,"A",.,"A"
"20091",1932514,36,0,"1",50,"D",.,"A",.,"A"
"20091",1932584,73,0,"1",5,"D",.,"A",.,"A"
"20091",1932664,28,0,"1",60,"D",.,"A",.,"A"
"20091",1932944,80,0,"1",.,"A",.,"A",0,"D"
"20091",1933004,49,0,"1",6,"D",.,"A",.,"A"
"20091",1933344,67,0,"1",.,"A",.,"A",100,"D"
"20091",1933604,81,0,"1",.,"A",.,"A",165,"D"
"20091",1933654,32,0,"1",.,"A",.,"A",25,"D"
"20091",1933684,35,0,"1",30,"D",.,"A",.,"A"
"20091",1933914,73,0,"1",60,"D",.,"A",.,"A"
"20091",1934094,64,0,"1",0,"D",.,"A",.,"A"
"20091",1934164,52,0,"1",15,"D",.,"A",.,"A"
"20091",1934444,21,0,"1",.,"A",12,"F",.,"A"
"20091",1935124,38,0,"1",.,"A",.,"A",.,"A"
"20091",1935574,59,0,"1",.,"A",.,"A",20,"D"
"20091",1935644,64,0,"1",0,"D",.,"A",0,"D"
"20091",1935674,77,0,"1",.,"A",1,"D",.,"A"
"20091",1935974,30,0,"1",.,"A",.,"A",29,"D"
"20091",1936004,54,0,"1",.,"A",60,"D",.,"A"
"20091",1936054,56,0,"1",.,"A",.,"A",60,"D"
"20091",1936204,23,0,"1",50,"D",5,"D",.,"A"
"20091",1936844,60,0,"1",.,"A",.,"A",20,"D"
"20091",1936914,34,0,"1",120,"D",.,"A",.,"A"
"20091",1937124,44,0,"1",30,"D",.,"A",.,"A"
"20091",1937224,67,0,"1",.,"A",.,"A",20,"D"
"20091",1937554,87,0,"1",60,"D",.,"A",.,"A"
"20091",1937954,34,0,"1",0,"D",.,"A",.,"A"
"20091",1937984,79,0,"1",25,"D",.,"A",.,"A"
"20091",1938064,58,0,"1",15,"D",.,"A",.,"A"
"20091",1938105,22,0,"1",60,"D",.,"A",.,"A"
"20091",1938224,35,0,"1",10,"D",.,"A",.,"A"
"20091",1938354,68,0,"1",31,"D",.,"A",.,"A"
"20091",1938514,47,0,"1",26,"D",.,"A",.,"A"
"20091",1938605,22,0,"1",.,"A",.,"A",100,"D"
"20091",1938645,38,0,"1",.,"A",1,"D",0,"D"
"20091",1938874,46,0,"1",192,"D",.,"A",.,"A"
"20091",1938924,32,0,"1",.,"A",.,"A",105,"D"
"20091",1939254,59,0,"1",.,"A",.,"A",25,"D"
"20091",1939504,70,0,"1",10,"D",.,"A",.,"A"
"20091",1939674,26,0,"1",25,"D",.,"A",.,"A"
"20091",1939874,95,0,"1",53,"D",.,"A",.,"A"
"20091",1940134,33,0,"1",10,"D",.,"A",.,"A"
"20091",1940204,20,0,"1",35,"D",0,"D",.,"A"
"20091",1940214,84,0,"1",.,"A",.,"A",100,"D"
"20091",1940334,43,0,"1",15,"D",.,"A",.,"A"
"20091",1940544,83,0,"1",.,"A",.,"A",40,"D"
"20091",1940594,55,0,"1",.,"A",.,"A",30,"D"
"20091",1940655,49,0,"1",.,"A",.,"A",60,"D"
"20091",1941124,32,0,"1",20,"D",.,"A",.,"A"
"20091",1941164,100,0,"1",.,"A",.,"A",30,"D"
"20091",1941244,31,0,"1",.,"A",.,"A",0,"D"
"20091",1941274,56,0,"1",50,"D",.,"A",.,"A"
"20091",1941454,37,0,"1",100,"D",.,"A",.,"A"
"20091",1941794,61,0,"1",.,"A",.,"A",20,"D"
"20091",1941854,46,0,"1",.,"A",.,"A",20,"D"
"20091",1942034,26,0,"1",.,"A",.,"A",60,"D"
"20091",1942654,26,0,"1",.,"A",2,"D",.,"A"
"20091",1942774,34,0,"1",41,"D",.,"A",.,"A"
"20091",1942874,36,0,"1",50,"D",.,"A",.,"A"
"20091",1942904,71,0,"1",19,"D",.,"A",.,"A"
"20091",1943824,59,0,"1",17,"D",.,"A",.,"A"
"20091",1943954,25,0,"1",30,"D",.,"A",.,"A"
"20091",1944084,48,0,"1",45,"D",.,"A",.,"A"
"20091",1944264,44,0,"1",0,"D",.,"A",.,"A"
"20091",1944284,32,0,"1",10,"D",.,"A",.,"A"
"20091",1944334,66,0,"1",.,"A",.,"A",100,"D"
"20091",1944494,52,0,"1",40,"D",.,"A",.,"A"
"20091",1944624,30,0,"1",60,"D",.,"A",.,"A"
"20091",1944714,65,0,"1",.,"A",2,"D",.,"A"
"20091",1944724,68,0,"1",.,"A",17,"D",.,"A"
"20091",1944954,53,0,"1",30,"D",.,"A",.,"A"
"20091",1945224,50,0,"1",.,"A",.,"A",40,"D"
"20091",1945354,53,0,"1",120,"D",.,"A",.,"A"
"20091",1945504,34,0,"1",.,"A",1,"D",.,"A"
"20091",1945704,49,0,"1",.,"A",.,"A",60,"D"
"20091",1946454,34,0,"1",.,"A",0,"D",.,"A"
"20091",1946574,59,0,"1",.,"A",.,"A",150,"D"
"20091",1946744,39,0,"1",100,"D",.,"A",.,"A"
"20091",1947354,55,0,"1",80,"D",.,"A",150,"D"
"20091",1947384,109,0,"1",25,"D",.,"A",.,"A"
"20091",1947674,60,0,"1",.,"A",.,"A",60,"D"
"20091",1947704,53,0,"1",25,"D",.,"A",.,"A"
"20091",1948264,50,0,"1",.,"A",.,"A",40,"D"
"20091",1948274,33,0,"1",.,"A",.,"A",200,"D"
"20091",1948364,35,0,"1",.,"A",3,"D",.,"A"
"20091",1948394,36,0,"1",.,"A",.,"A",0,"D"
"20091",1948405,48,0,"1",175,"D",.,"A",.,"A"
"20091",1948424,63,0,"1",.,"A",.,"A",40,"D"
"20091",1948574,34,0,"1",.,"A",.,"A",60,"D"
"20091",1948895,47,0,"1",.,"A",.,"A",.,"A"
"20091",1949034,46,0,"1",7,"D",.,"A",.,"A"
"20091",1949384,20,0,"1",0,"D",.,"A",.,"A"
"20091",1949464,59,0,"1",65,"D",1,"D",.,"A"
"20091",1949525,22,0,"1",25,"D",.,"A",.,"A"
"20091",1949634,57,0,"1",.,"A",.,"A",40,"D"
"20091",1949694,48,0,"1",.,"A",.,"A",20,"D"
"20091",1949714,50,0,"1",40,"D",.,"A",.,"A"
"20091",1949724,54,0,"1",40,"D",.,"A",.,"A"
"20091",1949774,25,0,"1",.,"A",.,"A",300,"D"
