"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20091",1905815,36,0,"5","01","D","100","D","1","D",0.0475,"D",511,"D",503,"D","01","D",43000,"D"
"20091",1905935,50,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1906035,62,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1906135,68,0,"5","01","D","100","D","1","D",0.0475,"D",594,"D",-65,"D","01","D",50000,"D"
"20091",1906315,53,0,"5","01","D","100","D","1","D",0.0475,"D",154,"D",806,"D","01","D",13000,"D"
"20091",1906375,54,0,"5","01","D","100","D","1","D",0.0475,"D",26,"F",374,"F","01","D",2227,"F"
"20091",1906475,53,0,"5","01","D","100","D","2","D",0.0475,"D",249,"F",351,"F","01","D",21000,"F"
"20091",1906515,43,0,"5","02","D","300","D","2","D",0.0475,"D",.,"A",.,"A","01","D",25000,"D"
"20091",1907625,51,0,"5","01","D","100","D","1","D",0.0475,"D",95,"F",205,"F","01","D",8000,"F"
"20091",1907635,45,0,"5","01","D","100","D","1","D",0.0475,"D",3563,"D",2437,"D","01","D",300000,"D"
"20091",1907665,64,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",23000,"D"
"20091",1907745,46,0,"5","01","D","100","D","1","D",0.0475,"D",377,"D",373,"D","01","D",31718,"D"
"20091",1907995,39,0,"5","01","D","100","D","1","D",0.0475,"D",154,"D",646,"D","01","D",13000,"D"
"20091",1908185,56,0,"5","01","D","100","D","1","D",0.0475,"D",713,"D",37,"D","01","D",60000,"D"
"20091",1908195,55,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",2797,"D","01","D",36000,"D"
"20091",1908195,56,0,"5","01","D","100","D","1","D",0.0475,"D",534,"D",816,"D","02","D",45000,"D"
"20091",1908255,55,0,"5","01","D","100","D","1","D",0.0475,"D",540,"D",3960,"D","01","D",45500,"D"
"20091",1908475,33,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",434,"D","01","D",20000,"D"
"20091",1908615,60,0,"5","01","D","100","D","1","D",0.0475,"D",580,"D",623,"D","01","D",48851,"D"
"20091",1908675,40,0,"5","01","D","100","D","1","D",0.0475,"D",140,"D",835,"D","01","D",11800,"D"
"20091",1908725,56,0,"5","01","D","100","D","1","D",0.0475,"D",534,"F",366,"F","01","D",45000,"F"
"20091",1909255,40,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1909365,55,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",212,"D","01","D",20000,"D"
"20091",1909395,48,0,"5","01","D","100","D","1","D",0.0475,"D",93,"D",1107,"D","01","D",7800,"D"
"20091",1909815,46,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",538,"D"
"20091",1910385,60,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1910555,42,0,"5","01","D","100","D",,"C",0.0475,"D",0,"F",0,"F","01","D",0,"F"
"20091",1910845,59,0,"5","01","D","100","D","1","D",0.0475,"D",77,"D",403,"D","01","D",6500,"D"
"20091",1911305,95,0,"5","01","D","100","D","1","D",0.0475,"D",249,"D",32296,"T","01","D",21000,"D"
"20091",1911355,46,0,"5","01","D","100","D","1","D",0.0475,"D",409,"D",3455,"D","01","D",34431,"D"
"20091",1911685,87,0,"5","01","D","100","D","1","D",0.0475,"D",986,"D",514,"D","01","D",83000,"D"
"20091",1912055,55,0,"5","01","D","100","D","1","D",0.0475,"D",1188,"D",-383,"D","01","D",100000,"D"
"20091",1912665,34,0,"5","01","D","100","D","2","D",0.0475,"D",127,"F",1073,"F","01","D",10700,"F"
"20091",1912955,32,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1912985,32,0,"5","01","D","100","D","1","D",0.0475,"D",166,"D",179,"D","01","D",14000,"D"
"20091",1913025,50,0,"5","01","D","100","D","1","D",0.0475,"D",1271,"D",-371,"D","01","D",107000,"D"
"20091",1913075,49,0,"5","01","D","100","D","1","D",0.0475,"D",582,"D",138,"D","01","D",49000,"D"
"20091",1913115,48,0,"5","01","D","100","D","1","D",0.0475,"D",594,"F",32296,"V","01","D",50000,"F"
"20091",1913225,55,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1913375,63,0,"5","01","D","100","D","1","D",0.0475,"D",713,"D",637,"D","01","D",60000,"D"
"20091",1913385,47,0,"5","01","D","100","D","2","D",0.0475,"D",183,"F",645,"F","01","D",15438,"F"
"20091",1913425,39,0,"5","01","D","100","D","1","D",0.0475,"D",178,"D",2822,"D","01","D",15000,"D"
"20091",1913475,49,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1913765,38,0,"5","01","D","100","D","1","D",0.0475,"D",726,"F",603,"F","01","D",61160,"F"
"20091",1913865,66,0,"5","01","D","100","D","1","D",0.0475,"D",10,"D",790,"D","01","D",800,"D"
"20091",1914205,53,0,"5","01","D","100","D","1","D",0.0475,"D",416,"D",397,"D","01","D",35000,"D"
"20091",1914495,55,0,"5","01","D","100","D","1","D",0.0475,"D",380,"D",1120,"D","01","D",32000,"D"
"20091",1914685,49,0,"5","01","D","100","D","1","D",0.0475,"D",214,"D",86,"D","01","D",18000,"D"
"20091",1915275,49,0,"5","01","D","100","D","1","D",0.0475,"D",1401,"F",-234,"F","01","D",118000,"F"
"20091",1915475,63,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",-34,"D","01","D",20000,"D"
"20091",1915895,40,0,"5","01","D","100","D","1","D",0.0475,"D",1484,"D",-584,"D","01","D",125000,"D"
"20091",1916175,27,0,"5","01","D","100","D","1","D",0.0475,"D",13,"D",467,"D","01","D",1100,"D"
"20091",1917015,79,0,"5","01","D","100","D","1","D",0.0475,"D",546,"D",354,"D","01","D",46000,"D"
"20091",1917155,36,0,"5","01","D","100","D","1","D",0.0475,"D",131,"F",2269,"F","01","D",11000,"F"
"20091",1917515,76,0,"5","01","D","100","D","1","D",0.0475,"D",214,"D",947,"D","01","D",18000,"D"
"20091",1917585,41,0,"5","01","D","100","D","1","D",0.0475,"D",368,"D",3832,"D","01","D",31000,"D"
"20091",1917645,40,0,"5","01","D","100","D","1","D",0.0475,"D",499,"D",-59,"D","01","D",42000,"D"
"20091",1917925,66,0,"5","01","D","100","D","1","D",0.0475,"D",1235,"D",1198,"D","01","D",104000,"D"
"20091",1918135,70,0,"5","01","D","100","D","1","D",0.0475,"D",101,"D",363,"D","02","D",8500,"D"
"20091",1918135,71,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1918225,55,0,"5","01","D","100","D","1","D",0.0475,"D",441,"D",810,"D","01","D",37135,"D"
"20091",1918265,75,0,"5","01","D","100","D","1","D",0.0475,"D",355,"D",545,"D","01","D",29900,"D"
"20091",1918485,54,0,"5","01","D","100","D","1","D",0.0475,"D",1425,"D",2400,"D","01","D",120000,"D"
"20091",1918715,76,0,"5","01","D","100","D","1","D",0.0475,"D",1,"D",114,"D","01","D",115,"D"
"20091",1919025,59,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",84583,"D"
"20091",1919095,47,0,"5","01","D","100","D","2","D",0.0475,"D",77,"F",403,"F","01","D",6500,"F"
